0.000e+00, 9.185e+00, 5.334e+00, 3.257e+00, 2.631e+00, 4.478e+00, 2.778e+00, 2.757e+00, 
1.000e+00, 2.705e+00, 2.679e+00, 2.688e+00, 2.679e+00, 2.707e+00, 2.709e+00, 2.488e+00, 
2.000e+00, 2.512e+00, 2.530e+00, 2.596e+00, 2.572e+00, 2.545e+00, 2.626e+00, 2.565e+00, 
3.000e+00, 2.495e+00, 2.514e+00, 2.540e+00, 2.688e+00, 2.633e+00, 2.631e+00, 2.675e+00, 
4.000e+00, 2.567e+00, 2.597e+00, 2.705e+00, 3.081e+00, 3.103e+00, 3.144e+00, 3.505e+00, 
5.000e+00, 2.733e+00, 2.727e+00, 3.217e+00, 4.353e+00, 4.577e+00, 4.875e+00, 4.692e+00, 
6.000e+00, 3.309e+00, 3.042e+00, 3.410e+00, 4.768e+00, 5.380e+00, 5.296e+00, 5.179e+00, 
7.000e+00, 2.561e+00, 2.578e+00, 3.279e+00, 4.338e+00, 4.328e+00, 4.340e+00, 4.688e+00, 
8.000e+00, 2.756e+00, 2.867e+00, 3.637e+00, 4.617e+00, 4.721e+00, 6.031e+00, 4.963e+00, 
9.000e+00, 6.865e+00, 6.870e+00, 6.611e+00, 4.787e+00, 4.878e+00, 6.584e+00, 5.088e+00, 
1.000e+01, 9.990e+00, 9.967e+00, 9.874e+00, 1.011e+01, 1.062e+01, 9.227e+00, 9.236e+00, 
1.100e+01, 8.976e+00, 8.944e+00, 9.061e+00, 9.514e+00, 9.490e+00, 9.653e+00, 9.442e+00, 
1.200e+01, 5.992e+00, 9.210e+00, 9.010e+00, 1.126e+01, 1.258e+01, 1.359e+01, 1.326e+01, 
1.300e+01, 3.065e+00, 9.627e+00, 9.262e+00, 2.091e+01, 2.387e+01, 2.517e+01, 2.336e+01, 
1.400e+01, 2.932e+00, 3.189e+00, 6.094e+00, 2.315e+01, 2.485e+01, 2.379e+01, 2.285e+01, 
1.500e+01, 2.669e+00, 2.992e+00, 2.954e+00, 9.396e+00, 2.122e+01, 2.366e+01, 2.242e+01, 
1.600e+01, 0.000e+00, 2.606e+00, 2.894e+00, 2.863e+00, 5.744e+00, 6.526e+00, 6.409e+00, 
1.700e+01, 0.000e+00, 0.000e+00, 2.697e+00, 3.182e+00, 3.196e+00, 5.142e+00, 7.126e+00, 
1.800e+01, 0.000e+00, 0.000e+00, 0.000e+00, 2.817e+00, 4.617e+00, 5.258e+00, 6.829e+00, 
1.900e+01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 2.898e+00, 4.498e+00, 5.191e+00, 
2.000e+01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 2.729e+00, 4.909e+00, 
2.100e+01, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 2.765e+00, 
